t,a,b,c
2024-11-14T07:00:00.000000,(130.29671990167176-238.17945696317642j),(-272.9880069141982+5.997319234927189j),(141.63585893046564+232.89981478947726j)
2024-11-14T07:00:20.000000,(129.3134651939056-238.7695636506563j),(-272.96941343474157+7.21636586579642j),(142.5611273233526+232.25173203059424j)
2024-11-14T07:00:30.000000,(128.36719864582534-239.26265399823905j),(-272.9081621907348+8.032225219834483j),(143.13065339937162+231.97341146521416j)
2024-11-14T07:00:50.000000,(129.14617070988095-238.91588655213357j),(-272.96699021131445+7.517634356677748j),(142.36554645796892+232.49072231144166j)
2024-11-14T07:01:00.000000,(128.9409455814481-238.97912685764055j),(-272.90764863028585+7.659208809080856j),(142.92404085565576+232.04908906937942j)
2024-11-14T07:01:10.000000,(128.98678578258057-239.00594034984528j),(-272.9504508641476+7.534204741414903j),(142.4661653315323+232.34894225891648j)
2024-11-14T07:01:20.000000,(129.47760593451326-238.73959880973706j),(-272.9784211616751+7.451409356855411j),(142.4714459008415+232.40488802932632j)
2024-11-14T07:01:40.000000,(128.15830805238883-239.41441560790298j),(-272.9208577330447+8.97341791979918j),(143.58142368978324+231.68919780072596j)
2024-11-14T07:01:50.000000,(129.28222578939787-238.84352929858832j),(-272.955771089291+7.134440853718039j),(142.37988826054257+232.40141397069507j)
2024-11-14T07:02:10.000000,(129.28382343917804-239.02406301302776j),(-273.11001927816847+7.6945086138107115j),(142.84268169340717+232.33202788321432j)
2024-11-14T07:02:20.000000,(129.91081039858915-238.31617559404918j),(-272.8397998580421+6.338545230704719j),(141.79077057907992+232.67542728866727j)
2024-11-14T07:02:30.000000,(130.07354704569858-238.51358581116963j),(-273.0879932428323+6.37524889899612j),(141.5141994173401+233.09543860480852j)
2024-11-14T07:02:50.000000,(129.25448868315806-238.9075498551393j),(-272.9931567062194+7.253347182853865j),(142.2828334964001+232.5691726932676j)
2024-11-14T07:03:00.000000,(128.95520335919423-239.2040442017683j),(-273.098379093779+7.587385035974874j),(142.7734510330785+232.38506748919283j)
2024-11-14T07:03:10.000000,(129.28515836305473-238.99783436449837j),(-273.040138983089+7.718985871719726j),(142.6994333065511+232.34493075331116j)
2024-11-14T07:03:20.000000,(128.61779911852153-239.26545259952985j),(-272.9907768636173+7.939175431694214j),(143.03240936000714+232.08149580831542j)
2024-11-14T07:03:30.000000,(128.6865093901448-239.20615011875392j),(-272.9460935698548+7.834973286098059j),(142.89977715135012+232.10817942533114j)
2024-11-14T07:03:40.000000,(128.9943242385338-239.14334536950594j),(-273.0445156557496+7.784349459530612j),(142.58414754668746+232.37165965767483j)
2024-11-14T07:03:50.000000,(129.63237692564672-238.8649164468188j),(-273.15347751378386+7.432042281081128j),(142.41843528798432+232.6070810677028j)
2024-11-14T07:04:00.000000,(129.31100770668-239.0121737716968j),(-273.10764553243+7.546731393595456j),(142.3951381036192+232.58711668742401j)
2024-11-14T07:04:10.000000,(129.00936892089902-239.21673892112878j),(-273.13746184304665+8.154391608838386j),(143.05557842810177+232.22901592909693j)
2024-11-14T07:04:20.000000,(128.98887008014447-239.17161339253053j),(-273.1321750224584+7.76504030263097j),(142.62662554074737+232.45830966583245j)
2024-11-14T07:04:30.000000,(128.91860684791666-239.39346999145036j),(-273.2846330997531+8.261929045223601j),(143.31032957233424+232.23699503494495j)
2024-11-14T07:04:50.000000,(128.15608695549278-239.7448197422841j),(-273.17982321893334+9.134681720674374j),(143.99040295517221+231.7014162325154j)
2024-11-14T07:05:00.000000,(129.58345886318315-238.98830561420246j),(-273.2579068381729+7.549663894165873j),(142.46040171659882+232.6518484597596j)
2024-11-14T08:00:00.000000,(129.4992012587513-239.6455842158746j),(-273.8800612161033+7.7394306125851635j),(143.3764228239126+232.76216193645186j)
2024-11-14T08:00:10.000000,(128.84171522527717-240.05812277119784j),(-273.9011146075768+8.363219537972734j),(143.56574563258835+232.75892780791244j)
2024-11-14T08:00:20.000000,(129.74528085829985-239.47153882423288j),(-273.83886501873684+7.705017750398998j),(142.96873303238925+233.00963440958589j)
2024-11-14T08:00:30.000000,(130.02817399898143-239.36113567572838j),(-273.9052876204017+7.170772931757501j),(142.9307651391546+233.04876552710488j)
2024-11-14T08:00:50.000000,(130.2666840094065-239.14890006230505j),(-273.8505126619231+6.9115848973955885j),(142.15766968677104+233.48453567576652j)
2024-11-14T08:01:00.000000,(129.65810856149167-238.98778542426544j),(-273.33714375090426+6.915394376537054j),(142.5708416037359+232.6760659632581j)
2024-11-14T08:01:20.000000,(129.37754866340865-239.67570714161468j),(-273.7788272599831+8.02851041620479j),(143.06243309011103+232.90709387853903j)
2024-11-14T08:01:30.000000,(129.1718968452847-239.79192920368942j),(-273.8180194653182+7.934477015576112j),(143.1157101673412+232.9186418050674j)
2024-11-14T08:01:50.000000,(129.25746189643678-239.87531563114425j),(-273.96584358057936+8.339822182431071j),(143.70133253097032+232.68322190323062j)
2024-11-14T08:02:00.000000,(129.24354474437553-239.88873262730266j),(-273.976961429258+7.682180503345906j),(143.40397856199215+232.89443964634162j)
2024-11-14T08:02:10.000000,(130.35393703967728-239.44623846288917j),(-274.20271789943064+7.1269216387306615j),(142.81320171446723+233.4622836633429j)
2024-11-14T08:02:30.000000,(129.1078788307847-240.27884487593346j),(-274.24624010125336+8.5772248946802j),(144.043289201059+232.81102281677596j)
2024-11-14T08:02:40.000000,(129.41020561267328-240.2425196301734j),(-274.3465069971702+7.873285732167895j),(143.73229950178134+233.0991336556133j)
2024-11-14T08:02:50.000000,(129.97842982589088-239.87514556623898j),(-274.3065519898427+7.168395734953023j),(142.92919806382582+233.50853928099573j)
2024-11-14T08:03:00.000000,(130.69179168337436-239.5679379795282j),(-274.41256110224674+6.610320165908197j),(142.64505989495387+233.7684667929957j)
