t,a,b,c
2024-11-14T07:00:00.000000,(9661.578328376389+32.594067770033824j),(-4822.95529661539-8425.08224096165j),(-4903.396805529772+8402.815169644286j)
2024-11-14T07:00:20.000000,(9662.971839155047+11.28489861117716j),(-4842.347655784428-8412.222922965888j),(-4885.81147587641+8414.090222061774j)
2024-11-14T07:00:30.000000,(9661.80178081971-6.84687033462916j),(-4851.971803690379-8408.669395096042j),(-4858.152686999297+8430.285587233006j)
2024-11-14T07:00:50.000000,(9663.094311697065+28.66619073232839j),(-4836.388631044513-8418.46033925545j),(-4892.756546598336+8412.233463899167j)
2024-11-14T07:01:00.000000,(9656.525502842269-1.0911784786762275j),(-4855.16736026761-8400.46348793353j),(-4856.669322008076+8427.148883171523j)
2024-11-14T07:01:10.000000,(9659.73003589608-6.596360321251612j),(-4851.4575914565185-8405.900499573803j),(-4857.976336254987+8430.797501826513j)
2024-11-14T07:01:20.000000,(9661.259255818059+21.606464354614275j),(-4835.8651516550035-8415.652793868838j),(-4892.459154319768+8410.656940875137j)
2024-11-14T07:01:40.000000,(9660.095312835576-34.854165416624944j),(-4878.394995487897-8390.064598729921j),(-4830.099342074563+8444.7830737022j)
2024-11-14T07:01:50.000000,(9659.90178372292+0.7047876319354937j),(-4844.696478452089-8409.145094763695j),(-4865.1769731948625+8425.993157674202j)
2024-11-14T07:02:10.000000,(9665.167134892818-4.9572838290038685j),(-4862.228101753407-8407.506568187864j),(-4857.900262195389+8436.605334759706j)
2024-11-14T07:02:20.000000,(9660.161198291098+71.77589982874443j),(-4778.869048571811-8447.171422424435j),(-4931.52093829798+8385.867587760797j)
2024-11-14T07:02:30.000000,(9667.186855102991+56.86231487200973j),(-4800.510505144313-8444.544429521191j),(-4916.122942837991+8404.083503589321j)
2024-11-14T07:02:50.000000,(9664.951658360651+0.33757724643747294j),(-4849.266501282597-8413.879829213853j),(-4877.058794738901+8423.380518006825j)
2024-11-14T07:03:00.000000,(9665.24135963773+23.022396019614913j),(-4835.969679389014-8424.439289803444j),(-4896.926987005371+8415.908941447666j)
