t,a,b,c
2024-11-14T07:00:00.000000,(-39.80336620220213-275.34873168320814j),(-213.94098554848958+154.65580971009513j),(253.74435175069172+120.69292197311297j)
2024-11-14T07:00:20.000000,(-39.54920790273413-274.2844205048071j),(-210.92405878546305+155.81504936784967j),(250.47326668819719+118.4693711369574j)
2024-11-14T07:00:30.000000,(-39.19383472861243-271.12299108899754j),(-208.70533753478404+157.9553718297383j),(247.89917226339645+113.1676192592592j)
2024-11-14T07:00:50.000000,(-40.24678176969844-276.96612060211237j),(-213.93747646560922+165.1980173721428j),(254.18425823530768+111.76810322996957j)
2024-11-14T07:01:00.000000,(-40.764732066588216-278.25555622505703j),(-213.56839842164882+164.3462804825074j),(254.333130488237+113.90927574254962j)
2024-11-14T07:01:10.000000,(-39.846527454227925-276.87178278235064j),(-215.5612925058623+164.2594638733987j),(255.4078199600902+112.61231890895193j)
2024-11-14T07:01:20.000000,(-41.594601081027626-278.9364259479896j),(-214.871610258009+164.24419444439272j),(256.46621133903665+114.6922315035969j)
2024-11-14T07:01:40.000000,(-42.10282120171707-273.3693078954965j),(-212.0661523525388+156.49429989344387j),(254.1689735542559+116.87500800205261j)
2024-11-14T07:01:50.000000,(-41.45211521999639-273.700774210492j),(-212.83108466159965+156.87101612857856j),(254.28319988159603+116.82975808191343j)
2024-11-14T07:02:20.000000,(-41.73740504079154-268.69912700046774j),(-208.0754364060934+148.14150213284609j),(249.81284144688493+120.55762486762163j)
2024-11-14T07:02:30.000000,(-41.6378289224073-270.4838369697172j),(-209.19643288087315+150.96718070637863j),(250.83426180328044+119.51665626333858j)
2024-11-14T07:02:50.000000,(-40.250620296136134-270.26739641866163j),(-209.41269502990704+153.17323558540303j),(249.66331532604318+117.0941608332586j)
2024-11-14T07:03:00.000000,(-39.510985097615304-267.3363233718285j),(-207.8908503921118+155.03960182216707j),(247.40183548972706+112.29672154966141j)
2024-11-14T07:03:10.000000,(-39.63621418270686-265.8107655502751j),(-206.51513836434543+154.1017419816853j),(246.1513525470523+111.70902356858974j)
2024-11-14T07:03:20.000000,(-39.05145017404484-266.61884198102445j),(-207.96983527105277+155.12994180653644j),(247.02128544509762+111.48890017448797j)
2024-11-14T07:03:30.000000,(-40.05751417506981-267.5582461778729j),(-207.47853218907633+154.8635427255332j),(247.53604636414616+112.69470345233974j)
2024-11-14T07:03:40.000000,(-41.02668841932912-268.3864583801303j),(-208.03503725081546+153.3829429318652j),(249.06172567014457+115.0035154482651j)
2024-11-14T07:03:50.000000,(-40.560948088414364-268.0676698529767j),(-209.75122814469984+152.96543659011857j),(250.3121762331142+115.1022332628581j)
2024-11-14T07:04:00.000000,(-41.13286206418016-269.5804532267779j),(-209.8293838207274+152.6601956803867j),(250.9622458849076+116.9202575463912j)
2024-11-14T07:04:10.000000,(-43.04730081218718-270.10418703099776j),(-209.30466926245572+152.6076283862575j),(252.3519700746429+117.49655864474026j)
2024-11-14T07:04:20.000000,(-42.78356872090709-274.26855934699864j),(-212.1958337456604+154.52829041824512j),(254.97940246656745+119.74026892875357j)
2024-11-14T07:04:30.000000,(-40.5476057540415-253.85827561450287j),(-197.16192464149546+142.5334302343068j),(237.70953039553694+111.32484538019611j)
2024-11-14T07:05:00.000000,(-39.93706536979035-258.318169822222j),(-200.8297481908583+147.84112630865377j),(240.76681356064867+110.47704351356828j)
