t,a,b,c
2024-11-14T07:00:00.000000,(32.342415-19.670153j),(-34.5228-20.636053j),(2.1803858+40.306206j)
2024-11-14T07:00:20.000000,(32.592915-19.75252j),(-34.58657-20.572975j),(1.9936545+40.325493j)
2024-11-14T07:00:30.000000,(32.53216-19.8395j),(-34.64634-20.616644j),(2.1141806+40.456146j)
2024-11-14T07:00:50.000000,(32.419067-19.82054j),(-34.572807-20.661533j),(2.153741+40.48207j)
2024-11-14T07:01:00.000000,(32.4231-19.6353j),(-34.500183-20.5537j),(2.077082+40.189j)
2024-11-14T07:01:10.000000,(32.562187-19.69006j),(-34.522392-20.541204j),(1.9602054+40.231266j)
2024-11-14T07:01:20.000000,(32.372738-19.680922j),(-34.467045-20.529327j),(2.094306+40.210247j)
2024-11-14T07:01:40.000000,(32.244724-19.634502j),(-34.462936-20.381033j),(2.2182114+40.015537j)
2024-11-14T07:01:50.000000,(32.633556-19.75367j),(-34.654305-20.4958j),(2.0207474+40.24947j)
2024-11-14T07:02:10.000000,(32.46033-19.788237j),(-34.57026-20.420382j),(2.1099272+40.20862j)
2024-11-14T07:02:20.000000,(32.53912-19.921894j),(-34.684807-20.475983j),(2.1456861+40.397877j)
2024-11-14T07:02:30.000000,(32.423676-19.87006j),(-34.603577-20.416626j),(2.1799006+40.286686j)
2024-11-14T07:02:50.000000,(32.925148-20.168398j),(-35.043724-20.522787j),(2.118578+40.691185j)
2024-11-14T07:03:00.000000,(32.777897-19.88028j),(-34.86161-20.56203j),(2.083713+40.44231j)
2024-11-14T07:03:10.000000,(32.66938-19.818167j),(-34.736633-20.456034j),(2.0672512+40.2742j)
2024-11-14T07:03:20.000000,(32.65738-19.866358j),(-34.825684-20.427292j),(2.1683073+40.293648j)
2024-11-14T07:03:30.000000,(32.74907-19.87444j),(-34.895367-20.487616j),(2.1462991+40.362053j)
2024-11-14T07:03:40.000000,(32.837494-19.848993j),(-34.998474-20.615993j),(2.1609828+40.464985j)
2024-11-14T07:03:50.000000,(32.668613-19.902414j),(-34.963787-20.603634j),(2.2951734+40.50605j)
2024-11-14T07:04:00.000000,(32.664608-19.759342j),(-34.832283-20.599878j),(2.1676736+40.359222j)
2024-11-14T07:04:10.000000,(32.56142-19.673275j),(-34.70006-20.536333j),(2.1386404+40.20961j)
