t,a,b,c
2024-11-14T07:00:00.000000,(9661.578+32.594067j),(-4822.955-8425.082j),(-4903.397+8402.815j)
2024-11-14T07:00:20.000000,(9662.972+11.284899j),(-4842.3477-8412.223j),(-4885.8115+8414.09j)
2024-11-14T07:00:30.000000,(9661.802-6.8468704j),(-4851.9717-8408.669j),(-4858.153+8430.285j)
2024-11-14T07:00:50.000000,(9663.095+28.666191j),(-4836.3887-8418.46j),(-4892.7563+8412.233j)
2024-11-14T07:01:00.000000,(9656.525-1.0911785j),(-4855.1675-8400.464j),(-4856.6694+8427.148j)
2024-11-14T07:01:10.000000,(9659.73-6.59636j),(-4851.4575-8405.9j),(-4857.9766+8430.798j)
2024-11-14T07:01:20.000000,(9661.259+21.606464j),(-4835.865-8415.652j),(-4892.459+8410.657j)
2024-11-14T07:01:40.000000,(9660.096-34.854164j),(-4878.395-8390.064j),(-4830.099+8444.783j)
2024-11-14T07:01:50.000000,(9659.901+0.7047876j),(-4844.6963-8409.1455j),(-4865.177+8425.993j)
2024-11-14T07:02:10.000000,(9665.167-4.957284j),(-4862.228-8407.507j),(-4857.9004+8436.605j)
2024-11-14T07:02:20.000000,(9660.161+71.7759j),(-4778.869-8447.172j),(-4931.521+8385.867j)
2024-11-14T07:02:30.000000,(9667.187+56.862316j),(-4800.5107-8444.544j),(-4916.123+8404.084j)
2024-11-14T07:02:50.000000,(9664.951+0.33757725j),(-4849.2666-8413.88j),(-4877.0586+8423.381j)
2024-11-14T07:03:00.000000,(9665.241+23.022396j),(-4835.9697-8424.439j),(-4896.927+8415.909j)
2024-11-14T07:03:10.000000,(9664.912+17.759754j),(-4845.052-8416.374j),(-4882.779+8421.159j)
2024-11-14T07:03:20.000000,(9661.57-18.33661j),(-4871.0654-8399.591j),(-4859.4+8432.675j)
2024-11-14T07:03:30.000000,(9661.928+12.227663j),(-4843.4663-8413.578j),(-4870.5737+8425.387j)
2024-11-14T07:03:40.000000,(9664.276+32.487434j),(-4832.4307-8423.304j),(-4896.372+8414.35j)
2024-11-14T07:03:50.000000,(9667.326+4.0423346j),(-4848.2935-8416.752j),(-4869.2104+8431.439j)
2024-11-14T07:04:00.000000,(9664.958+15.1802j),(-4848.581-8416.066j),(-4883.4204+8420.952j)
2024-11-14T07:04:10.000000,(9667.157+3.8512483j),(-4859.5137-8410.941j),(-4873.1836+8429.077j)
2024-11-14T07:04:20.000000,(9667.96-38.43311j),(-4884.722-8396.725j),(-4848.321+8445.023j)
2024-11-14T07:04:30.000000,(9673.55-39.08075j),(-4898.626-8394.099j),(-4840.995+8453.1j)
2024-11-14T07:04:50.000000,(9671.157+38.799076j),(-4825.482-8432.432j),(-4912.0376+8409.02j)
